time,symbol,open,close,high,low,volume,category
2024-07-16,HRL,575.0,590.0,592.0,575.0,180459,stock
2024-07-17,HRL,600.0,608.0,611.0,592.0,248855,stock
2024-07-18,HRL,615.0,610.0,626.0,603.0,325046,stock
2024-07-21,HRL,610.0,638.0,641.0,605.0,488016,stock
2024-07-22,HRL,638.0,661.2,669.0,633.0,565705,stock
2024-07-23,HRL,667.0,677.0,678.0,658.0,341515,stock
2024-07-24,HRL,675.0,663.8,684.9,656.0,541134,stock
2024-07-25,HRL,665.0,656.9,667.1,653.0,313744,stock
2024-07-28,HRL,670.0,670.0,680.0,655.0,484001,stock
2024-07-29,HRL,675.0,658.0,680.0,658.0,387185,stock
2024-07-30,HRL,658.0,695.3,703.0,650.3,877464,stock
2024-07-31,HRL,700.0,745.9,756.9,700.0,1143711,stock
2024-08-01,HRL,760.0,770.0,788.0,746.0,774069,stock
2024-08-05,HRL,777.7,845.0,845.0,751.0,1549098,stock
2024-08-06,HRL,861.8,849.0,897.6,838.0,1616431,stock
2024-08-07,HRL,850.0,933.9,933.9,850.0,1694021,stock
2024-08-08,HRL,952.5,959.0,1020.0,952.0,1100485,stock
2024-08-11,HRL,962.0,953.0,976.0,930.0,1596564,stock
2024-08-12,HRL,963.0,1000.1,1010.0,963.0,1237240,stock
2024-08-13,HRL,1000.0,1000.0,1060.0,981.0,683396,stock
2024-08-14,HRL,1020.0,1019.0,1041.0,1001.1,847281,stock
2024-08-15,HRL,1021.0,985.0,1035.0,985.0,913916,stock
2024-08-18,HRL,990.0,958.0,995.9,955.0,843354,stock
2024-08-21,HRL,958.0,980.0,1001.0,956.0,675216,stock
2024-08-22,HRL,980.0,964.9,998.8,962.0,457761,stock
2024-08-25,HRL,970.0,922.0,970.0,915.0,783712,stock
2024-08-27,HRL,925.0,881.0,939.0,875.0,729964,stock
2024-08-28,HRL,881.0,880.0,916.4,865.4,426881,stock
2024-08-29,HRL,897.6,878.0,910.0,863.0,404002,stock
2024-09-01,HRL,878.0,861.0,890.0,854.0,384543,stock
2024-09-02,HRL,870.0,894.5,895.0,851.2,377268,stock
2024-09-03,HRL,910.0,883.5,910.0,883.0,283240,stock
2024-09-04,HRL,901.1,857.0,901.1,850.9,345129,stock
2024-09-05,HRL,857.0,845.0,861.0,831.0,344568,stock
2024-09-08,HRL,850.0,827.0,860.0,826.2,241859,stock
2024-09-09,HRL,827.0,802.1,835.0,800.2,344725,stock
2024-09-10,HRL,803.0,787.9,819.0,781.1,271773,stock
2024-09-11,HRL,800.0,781.0,800.0,780.0,157143,stock
2024-09-12,HRL,781.0,834.0,837.0,779.0,302090,stock
2024-09-15,HRL,841.0,813.1,858.0,810.6,337603,stock
2024-09-16,HRL,813.1,799.2,814.0,796.0,184090,stock
2024-09-18,HRL,799.0,790.0,808.5,789.0,155051,stock
2024-09-22,HRL,805.8,796.0,818.9,792.0,161220,stock
2024-09-23,HRL,794.0,779.9,800.5,774.3,159992,stock
2024-09-24,HRL,780.0,762.9,794.0,757.0,191261,stock
2024-09-25,HRL,774.7,776.0,782.0,751.0,165062,stock
2024-09-26,HRL,761.0,761.4,792.0,760.4,143339,stock
2024-09-29,HRL,746.2,754.0,770.0,746.2,169828,stock
2024-09-30,HRL,754.0,775.0,780.0,754.0,113860,stock
2024-10-01,HRL,780.0,827.0,828.5,780.0,290519,stock
2024-10-02,HRL,843.5,816.0,843.5,811.0,210562,stock
2024-10-06,HRL,816.0,831.3,832.3,812.0,129290,stock
2024-10-07,HRL,840.0,870.0,881.0,834.0,275405,stock
2024-10-08,HRL,870.0,865.0,881.0,860.0,158352,stock
2024-10-09,HRL,868.0,879.0,900.0,857.2,178605,stock
2024-10-15,HRL,893.0,896.1,897.9,881.0,122647,stock
2024-10-16,HRL,896.1,896.0,914.0,890.0,166803,stock
2024-10-17,HRL,901.0,885.0,907.0,885.0,225174,stock
2024-10-20,HRL,885.0,878.0,899.0,868.0,295964,stock
2024-10-21,HRL,878.0,855.0,885.0,853.0,255570,stock
2024-10-22,HRL,855.0,865.0,870.0,853.0,142346,stock
2024-10-23,HRL,865.0,861.1,880.0,860.1,113796,stock
2024-10-24,HRL,861.1,855.0,868.0,851.0,106578,stock
2024-10-27,HRL,855.0,854.7,860.0,848.1,73616,stock
2024-10-28,HRL,854.7,862.0,869.9,854.7,98805,stock
2024-10-29,HRL,862.0,880.0,884.5,862.0,134076,stock
2024-10-30,HRL,887.0,874.0,898.0,871.6,101878,stock
2024-11-05,HRL,874.0,870.9,885.0,865.3,60732,stock
2024-11-06,HRL,870.0,870.0,902.0,869.1,71041,stock
2024-11-10,HRL,870.0,890.9,892.0,870.0,197701,stock
2024-11-11,HRL,890.0,894.0,914.0,888.0,289679,stock
2024-11-12,HRL,907.0,890.0,912.0,885.0,108223,stock
2024-11-13,HRL,881.0,881.0,898.6,880.0,94717,stock
2024-11-14,HRL,875.0,877.0,890.0,875.0,127830,stock
2024-11-17,HRL,894.0,880.0,900.0,878.0,165932,stock
2024-11-19,HRL,875.0,866.0,884.0,865.0,169232,stock
2024-11-20,HRL,866.5,861.0,871.0,860.0,106912,stock
2024-11-21,HRL,861.0,847.0,867.9,845.2,121493,stock
2024-11-24,HRL,850.0,839.1,860.0,838.0,106931,stock
2024-11-25,HRL,855.0,848.0,863.0,836.5,103463,stock
2024-11-26,HRL,850.0,865.0,869.9,850.0,83993,stock
2024-11-27,HRL,848.0,870.0,881.2,848.0,89279,stock
2024-11-28,HRL,870.0,855.2,880.0,855.2,111120,stock
2024-12-01,HRL,850.0,845.0,854.0,842.5,166608,stock
2024-12-02,HRL,845.0,842.0,855.0,840.0,84649,stock
2024-12-03,HRL,847.0,843.0,852.0,841.0,84526,stock
2024-12-04,HRL,859.0,841.0,860.0,841.0,107864,stock
2024-12-05,HRL,841.1,833.0,848.0,830.0,137241,stock
2024-12-08,HRL,839.0,824.0,844.0,820.0,117257,stock
2024-12-09,HRL,824.0,820.0,837.4,817.0,81286,stock
2024-12-10,HRL,817.0,819.8,830.0,815.2,51818,stock
2024-12-11,HRL,819.8,823.4,830.0,813.0,75709,stock
2024-12-12,HRL,839.8,820.0,839.8,819.0,92638,stock
2024-12-16,HRL,820.0,808.8,820.0,805.0,188460,stock
2024-12-17,HRL,808.0,809.0,820.0,802.0,66294,stock
2024-12-18,HRL,809.0,801.0,815.0,800.3,75351,stock
2024-12-19,HRL,785.0,791.5,810.0,785.0,69267,stock
2024-12-22,HRL,792.0,787.1,800.0,782.3,62708,stock
